facility_id;address;city;medium;meter_id;meter_manufacturer;gateway_id;gateway_product_model;phone;ip;port;gateway_status;meter_status;utc_offset
3000;Hasselgatan 4;Höganäs;Gas;1003000;ELV;10003000;CMi2110;06190000355115;NULL;NULL;OK;OK;+1
3001;Storgatan 5;Höganäs;Gas;1003001;ELV;10003001;CMi2110;06190000388838;NULL;NULL;OK;OK;+1
3002;Väpnaregatan 10;Höganäs;Gas;1003002;ELV;10003002;CMi2110;0067282172804;NULL;NULL;OK;OK;+1
3010;Hasselgatan 14;Höganäs;Water;1003010;ELV;10003010;CMi2110;06190001355115;NULL;NULL;OK;OK;+1
3011;Storgatan 155;Höganäs;Water;1003011;ELV;10003011;CMi2110;06190001388838;NULL;NULL;OK;OK;+1
3012;Väpnaregatan 10;Höganäs;Water;1003012;ELV;10003012;CMi2110;0167282172804;NULL;NULL;OK;OK;+1
3020;Hasselgatan 24;Höganäs;Hot water;1003020;ELV;10003020;CMi2110;06190002355115;NULL;NULL;OK;OK;+1
3021;Storgatan 25;Höganäs;Hot water;1003021;ELV;10003021;CMi2110;06190002388838;NULL;NULL;OK;OK;+1
3022;Väpnaregatan 22;Höganäs;Hot water;1003022;ELV;10003022;CMi2110;0267282172804;NULL;NULL;OK;OK;+1
3030;Hasselgatan 3;Höganäs;Water;1003030;ELV;10003030;CMi2110;06190012355115;NULL;NULL;OK;OK;+1
3031;Storgatan 7;Höganäs;Water;1003031;ELV;10003031;CMi2110;06190012388838;NULL;NULL;OK;OK;+1
3032;Väpnaregatan 8;Höganäs;Water;1003032;ELV;10003032;CMi2110;0267382172804;NULL;NULL;OK;OK;+1
3033;Väpnaregatan 8;Höganäs;Electricity;9003032;ELV;10003033;CMi2110;0267382172804;NULL;NULL;OK;OK;+1
3034;Väpnaregatan 8;Höganäs;Room sensor;8003032;ELV;10003034;CMi2110;0267382172804;NULL;NULL;OK;OK;+1
3035;Väpnaregatan 8;Höganäs;District cooling;8663066;ELV;16603334;CMi2110;5589172804;NULL;NULL;OK;OK;+1
